analysis_id,9qq2ed3uehaf0pd
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
pvalue,0.2299587
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Dmap1
