gene_symbol,Ints7
mouse_life_stage,E9.5
analysis_id,r229m2n665yc8e1
pvalue,0.7299675
parameter_name,Skull shape
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:1924315
