analysis_id,qqquxf6705d0gas
mouse_strain,C57BL
parameter_name,PP4 + pulse startle magnitude
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
pvalue,0.7570691
gene_symbol,Atrn
parameter_id,ESLIM_011_001_010
