analysis_id,058icw622858ugb
gene_accession_id,MGI:1922745
parameter_name,Follicular B cells - % of CD45+
pvalue,0.4143729
mouse_strain,C57BL
gene_symbol,Morn5
parameter_id,MGP_IMM_112_001
mouse_life_stage,Early adult
