parameter_name,Global prepulse inhibition
mouse_life_stage,Early adult
pvalue,0.615482
analysis_id,4vq30a8naw07es3
gene_accession_id,MGI:2674093
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
gene_symbol,Psd4
