analysis_id,3275e2e088mv85p
parameter_name,Heart weight
gene_symbol,AU040320
mouse_life_stage,Late adult
pvalue,0.9068194
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
