gene_symbol,Bach2
mouse_life_stage,Early adult
pvalue,2.494514e-05
analysis_id,37c5mdgr7829b2x
parameter_id,IMPC_IMM_069_001
parameter_name,Transitional B Cells (CD21/35 low)
mouse_strain,C57BL
gene_accession_id,MGI:894679
