parameter_name,Corneal vascularization
pvalue,0.4354385
analysis_id,5s3c264k2vr3pa7
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_009_001
mouse_strain,C57BL
