gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_strain,C57BL
pvalue,0.6292702
parameter_name,Startle Response
mouse_life_stage,Early adult
analysis_id,v09tojsyhf18qsr
parameter_id,M-G-P_008_001_013
