parameter_name,Tongue out
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.8883858
gene_symbol,Fgb
parameter_id,IMPC_GEP_083_001
analysis_id,3d5y981rjw2wsc7
