analysis_id,gz3geor023r9atx
pvalue,0.6852113
gene_symbol,Zmynd19
parameter_name,PP4 + pulse startle magnitude
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
parameter_id,ESLIM_011_001_010
mouse_strain,C57BL
