analysis_id,y785h05i2n4nx79
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.5340605
gene_accession_id,MGI:88174
gene_symbol,Bmi1
parameter_id,MGP_IMM_121_001
parameter_name,Macrophages - % of CD45+
