analysis_id,0mhwr881sam397n
gene_accession_id,MGI:1914515
parameter_name,Effector NK cells - % of NK cells
parameter_id,MGP_MLN_032_001
pvalue,0.610227
gene_symbol,Slc39a10
mouse_life_stage,Early adult
mouse_strain,C57BL
