analysis_id,q8pfl76w55s1712
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.1116947
parameter_name,Delayed embryonic development
parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:2446186
