parameter_name,Placenta Size
mouse_strain,C57BL
gene_accession_id,MGI:1915325
pvalue,0.6145389
mouse_life_stage,Early adult
parameter_id,IMPC_GPP_004_001
gene_symbol,Lurap1
analysis_id,706b3jlls341r86
