mouse_life_stage,E12.5
gene_accession_id,MGI:88174
analysis_id,dn02qq213026596
parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
pvalue,0.6866902
gene_symbol,Bmi1
mouse_strain,C57BL
