analysis_id,u5999p17gd5atp8
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
gene_symbol,Npbwr1
pvalue,0.9194687
gene_accession_id,MGI:891989
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
