analysis_id,38hp383w07r32yh
pvalue,0.9425118
mouse_life_stage,E9.5
gene_symbol,Ints7
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_name,Chloride
