analysis_id,f4cbf7y4y3c0j97
gene_accession_id,MGI:1336200
parameter_name,PP1 startle magnitude
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Hpca
parameter_id,ESLIM_011_001_002
pvalue,0.4638295
