analysis_id,0zu96535nw8j669
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
parameter_name,Shape of ribcage
mouse_life_stage,Early adult
pvalue,0.34302
