analysis_id,1mu092k72361v10
pvalue,0.8818633
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
parameter_name,Lens
gene_symbol,Cds2
mouse_strain,129SV
parameter_id,IMPC_EYE_016_001
