gene_symbol,Snap23
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
analysis_id,eu20i9c17l37t99
gene_accession_id,MGI:109356
pvalue,0.2877166
