parameter_id,M-G-P_005_001_004
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,824u7k497vsi8rn
gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
pvalue,0.575528
parameter_name,Bone Mineral Density (excluding skull)
