gene_symbol,Trp53rkb
parameter_name,Startle response
gene_accession_id,MGI:1914050
pvalue,0.08588579
analysis_id,q71u7b85m9896zr
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HMGULA_SHI_009_001
