parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
pvalue,0.4898239
gene_symbol,Snrpb2
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
gene_accession_id,MGI:104805
analysis_id,7ueehw988l8zg21
