gene_symbol,Psd4
pvalue,0.1329947
mouse_strain,C57BL
gene_accession_id,MGI:2674093
analysis_id,5bz4075vh33qia2
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
