analysis_id,231018x3i13u928
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
gene_symbol,Slx4ip
pvalue,0.8366809
parameter_name,Aspartate aminotransferase
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
