gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.4623792
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
analysis_id,0v9zp483gp0u953
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
