gene_symbol,Zyg11b
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
mouse_life_stage,Early adult
analysis_id,b80r1ya3cd3280b
pvalue,0.5180144
mouse_strain,C57BL
gene_accession_id,MGI:2685277
