analysis_id,5po7ds1axw7xv97
gene_symbol,Ola1
gene_accession_id,MGI:1914309
pvalue,0.8428534
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
parameter_id,MGP_MLN_074_001
