parameter_name,White blood cell-count
parameter_id,M-G-P_016_001_001
gene_accession_id,MGI:1919949
analysis_id,z88ls5239j75738
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6577122
gene_symbol,Lime1
