analysis_id,6vj4jinh4w729t0
gene_symbol,Mms22l
parameter_id,JAX_LDT_005_001
mouse_life_stage,Early adult
parameter_name,Time mobile dark side
pvalue,0.2895179
mouse_strain,129SV
gene_accession_id,MGI:2684980
