parameter_name,Center distance travelled
parameter_id,JAX_OFD_014_001
pvalue,0.09698577
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
analysis_id,t7i8jvma2is8194
mouse_life_stage,Early adult
