gene_symbol,Inpp1
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Pericardium Morphology
analysis_id,gs6ahpkcr8ysoc3
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:104848
pvalue,0.6174377
