gene_symbol,Etfdh
parameter_id,MGP_PBI_035_001
gene_accession_id,MGI:106100
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,yf1oa874j4jy606
pvalue,0.2553842
parameter_name,IgD+ mature B cell number
