analysis_id,t3ry5p138k87880
parameter_id,MGP_PBI_032_001
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
pvalue,0.7903902
