analysis_id,2d9py7gda8xn617
gene_symbol,Eprs1
parameter_id,ESLIM_016_001_003
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4113608
parameter_name,Haemoglobin
gene_accession_id,MGI:97838
