analysis_id,zh04x7a1mcz5li2
mouse_life_stage,Early adult
pvalue,0.5704499
parameter_id,IMPC_XRY_027_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
parameter_name,Joints
mouse_strain,C57BL
