analysis_id,8434m87tp0ly265
parameter_id,MGP_MLN_021_001
gene_symbol,Ola1
pvalue,0.5668598
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
