parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
mouse_strain,C57BL
pvalue,0.8258589
analysis_id,90y5409zw83265j
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
gene_symbol,Ap5s1
