analysis_id,3927az57yr1f336
mouse_strain,129SV
parameter_name,Startle response
pvalue,0.7302205
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_id,IMPC_CSD_036_001
