gene_symbol,Fgb
mouse_strain,C57BL
pvalue,0.6860879
parameter_id,ESLIM_011_001_006
parameter_name,110dB startle magnitude
analysis_id,s68536vg63x21ci
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
