gene_symbol,Lpgat1
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.8557584
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:2446186
analysis_id,i43adzuwo9q8dap
