analysis_id,8996mp1e48e3hf6
parameter_id,MGP_CSD_066_001
parameter_name,Snout morphology
gene_symbol,Dmap1
mouse_strain,C57BL
pvalue,0.5197451
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
