gene_symbol,S100a3
parameter_id,JAXLA_DXA_003_001
parameter_name,Lean mass
mouse_strain,C57BL
pvalue,0.4774251
gene_accession_id,MGI:1338849
mouse_life_stage,Early adult
analysis_id,zgk014878l681sh
