parameter_name,NKT cells (panel A)
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
pvalue,0.07782965
parameter_id,IMPC_IMM_004_001
analysis_id,sv1t3630kfw9wv9
mouse_strain,C57BL
