analysis_id,8sj72jwt9082ww0
gene_symbol,Lcn2
mouse_strain,C57BL
pvalue,0.5372253
parameter_name,eye size
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
gene_accession_id,MGI:96757
