analysis_id,qnbveb812m385ik
mouse_strain,C57BL
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
pvalue,0.2251834
gene_symbol,Slx4ip
