analysis_id,e352uvl821h6brk
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,ESLIM_005_001_702
gene_symbol,Hspa5
parameter_name,Lean/Body weight
pvalue,0.2514499
gene_accession_id,MGI:95835
