analysis_id,ebc157d9u1dm149
gene_symbol,Ivd
gene_accession_id,MGI:1929242
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_009
pvalue,0.4352644
parameter_name,lens
