analysis_id,6x040h3eu33e498
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
parameter_name,Body Weight
pvalue,0.684488
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,M-G-P_012_001_005
