parameter_name,Number of centre entries
mouse_life_stage,Early adult
analysis_id,vzq507t95fw6677
parameter_id,ESLIM_007_001_015
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
pvalue,0.09672723
mouse_strain,C57BL
