parameter_name,Creatinine
gene_symbol,Slc30a4
mouse_strain,C57BL
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
pvalue,0.6847596
parameter_id,HMGULA_CBC_005_001
analysis_id,974a0d8mm1c854w
