analysis_id,h2r923m9574402e
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
pvalue,0.1419686
parameter_name,Limb morphology
gene_symbol,Bach2
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
