parameter_name,Center permanence time
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
analysis_id,57uu559pt05t3e2
pvalue,0.2845346
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
