analysis_id,7nb310cugmq0879
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
parameter_id,MGP_IMM_079_001
pvalue,0.8375011
gene_symbol,Slc45a3
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
