parameter_name,Alanine aminotransferase
analysis_id,u6tl99u684214o6
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
pvalue,0.4898296
gene_accession_id,MGI:1914256
mouse_strain,C57BL
gene_symbol,Cisd2
