Analysis_id,10c3110hb59is2q
gene_accession_id,MGI:1917810
Mouse_strain,C57BL
Pvalue,0.7808248
Parameter_id,JAX_OFD_014_001
Gene_symbol,Wars2
Parameter_name,Center distance travelled
Mouse_life_stage,E12.5
