gene_symbol,Snrpb2
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
analysis_id,fc3gv16z2ypa3ob
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
mouse_life_stage,Early adult
pvalue,0.4817288
gene_accession_id,MGI:104805
