analysis_id,s2gy4599r12ab5z
parameter_name,Vibrissae - presence
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Early adult
gene_symbol,Bach2
pvalue,0.650714
