analysis_id,269290f3o39w457
parameter_id,IMPC_DXA_010_001
gene_symbol,Secisbp2l
parameter_name,Bone Area
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.877388
gene_accession_id,MGI:1917604
