parameter_name,Percentage center time
pvalue,0.6587139
gene_symbol,Trpa1
analysis_id,lc3ip227bzm1y1p
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
