analysis_id,l6eap248g62bv4q
mouse_strain,C57BL
gene_accession_id,MGI:3046938
pvalue,1.266361
parameter_name,Periphery average speed
mouse_life_stage,Early adult
gene_symbol,Hrnr
parameter_id,HRWLLA_OFD_013_001
