parameter_id,JAXLA_HBD_001_001
gene_symbol,Atg4c
parameter_name,Total holepokes
pvalue,0.3359732
mouse_strain,C57BL
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
analysis_id,uxbf57fic1hkf5c
